date,rate
6/1/16,"1,4416"
6/2/16,"1,4423"
6/3/16,"1,4518"
6/6/16,"1,4442"
6/7/16,"1,4545"
6/8/16,"1,4504"
6/9/16,"1,4458"
6/10/16,"1,4257"
6/13/16,"1,4270"
6/14/16,"1,4114"
6/15/16,"1,4204"
6/16/16,"1,4203"
6/17/16,"1,4358"
6/20/16,"1,4698"
6/21/16,"1,4652"
6/22/16,"1,4707"
6/23/16,"1,4877"
6/24/16,"1,3679"
6/27/16,"1,3225"
6/28/16,"1,3344"
6/29/16,"1,3429"
6/30/16,"1,3311"
7/1/16,"1,3267"
7/4/16,"1,3287"
7/5/16,"1,3022"
7/6/16,"1,2931"
7/7/16,"1,2908"
7/8/16,"1,2954"
7/11/16,"1,2998"
7/12/16,"1,3247"
7/13/16,"1,3147"
7/14/16,"1,3343"
7/15/16,"1,3192"
7/18/16,"1,3255"
7/19/16,"1,3111"
7/20/16,"1,3208"
7/21/16,"1,3233"
7/22/16,"1,3109"
7/25/16,"1,3140"
7/26/16,"1,3130"
7/27/16,"1,3223"
7/28/16,"1,3164"
7/29/16,"1,3230"
8/1/16,"1,3179"
8/2/16,"1,3357"
8/3/16,"1,3325"
8/4/16,"1,3107"
8/5/16,"1,3073"
8/8/16,"1,3040"
8/9/16,"1,3003"
8/10/16,"1,3010"
8/11/16,"1,2956"
8/12/16,"1,2920"
8/15/16,"1,2880"
8/16/16,"1,3046"
8/17/16,"1,3042"
8/18/16,"1,3168"
8/19/16,"1,3075"
8/22/16,"1,3137"
8/23/16,"1,3198"
8/24/16,"1,3232"
8/25/16,"1,3192"
8/26/16,"1,3137"
8/29/16,"1,3106"
8/30/16,"1,3080"
8/31/16,"1,3138"
9/1/16,"1,3268"
9/2/16,"1,3294"
9/5/16,"1,3304"
9/6/16,"1,3440"
9/7/16,"1,3341"
9/8/16,"1,3295"
9/9/16,"1,3267"
9/12/16,"1,3337"
9/13/16,"1,3193"
9/14/16,"1,3235"
9/15/16,"1,3239"
9/16/16,"1,3002"
9/19/16,"1,3030"
9/20/16,"1,2988"
9/21/16,"1,3032"
9/22/16,"1,3078"
9/23/16,"1,2966"
9/26/16,"1,2975"
9/27/16,"1,3023"
9/28/16,"1,3019"
9/29/16,"1,2968"
9/30/16,"1,2972"
10/3/16,"1,2842"
10/4/16,"1,2728"
10/5/16,"1,2749"
10/6/16,"1,2616"
10/7/16,"1,1841"
10/10/16,"1,2362"
10/11/16,"1,2123"
10/12/16,"1,2204"
10/13/16,"1,2254"
10/14/16,"1,2191"
10/17/16,"1,2183"
10/18/16,"1,2298"
10/19/16,"1,2285"
10/20/16,"1,2254"
10/21/16,"1,2234"
10/24/16,"1,2238"
10/25/16,"1,2188"
10/26/16,"1,2247"
10/27/16,"1,2164"
10/28/16,"1,2185"
